#deck:IELTSWords
#notetype:Cloze
#separator:|
#columns:Answer|Example|OriginalExample|TranslationOfExample|Definition|ChineseDefinition|Word|PartOfSpeech|Synonyms|Antonyms

parallel|There's a {{c1::parallel}} between his career and mine.|There's a parallel between his career and mine.|他和我在职业发展上有相似之处。|A person or thing that is similar or analogous to another|与他人或他物相似或对应的人或事物|parallel|noun|analogy, counterpart|difference, contrast
compelled|They were {{c1::compelled}} to sign the agreement.|They were compelled to sign the agreement.|他们被迫签署了协议。|To force or oblige someone to do something|强迫或迫使某人做某事|compel|verb|force, coerce|allow, permit
compelled|Their sense of duty {{c1::compelled}} them to keep working.|Their sense of duty compelled them to keep working.|他们的责任感驱使他们继续工作。|To drive or exert a strong irresistible force|施加强大的不可抵抗的力量|compel|verb|impel, urge|discourage, dissuade
immediately|Come here {{c1::immediately}}!|Come here immediately!|马上过来！|At once; instantly|立刻；马上|immediately|adverb|instantly, right away|later, eventually
immediately|The factory is {{c1::immediately}} next to the warehouse.|The factory is immediately next to the warehouse.|工厂紧挨着仓库。|Without any intervening time or space|没有任何间隔的时间或空间|immediately|adverb|directly, closely|indirectly, remotely
institute|He studied at a renowned technology {{c1::institute}}.|He studied at a renowned technology institute.|他在一家著名的技术研究所学习。|An organization having a particular purpose, especially one that is involved with science, education, or a specific profession|一个具有特定目标的组织，尤其与科学、教育或特定行业相关|institute|noun|organization, academy|individual, single entity
instituted|They {{c1::instituted}} new safety measures at the plant.|They instituted new safety measures at the plant.|他们在工厂里推行了新的安全措施。|To introduce or start a system, rule, or policy|推行或开始一个制度、规则或政策|institute|verb|establish, initiate|abolish, revoke
serial|He is known for his {{c1::serial}} novels published weekly.|He is known for his serial novels published weekly.|他以每周连载的小说而闻名。|Consisting of, forming part of, or taking place in a series|由一系列组成的，或在一系列中发生的|serial|adjective|sequential, consecutive|one-off, single
serial|She followed a popular {{c1::serial}} on television.|She followed a popular serial on television.|她追看了一部流行的电视连续剧。|A story or program broadcast or published in installments|分期连载或广播的故事或节目|serial|noun|series, installment|one-shot, non-series
oversee|He was hired to {{c1::oversee}} the construction project.|He was hired to oversee the construction project.|他被雇来监督这个建筑项目。|To supervise a process, work, or workers|监督一个流程、工作或员工|oversee|verb|supervise, manage|neglect, ignore
oversee|There is a tower to {{c1::oversee}} the valley.|There is a tower to oversee the valley.|有一座塔可以俯瞰整个山谷。|To watch or observe from above|从上方看或观察|oversee|verb|look over, survey|overlook unintentionally, miss
reinforce|We need to {{c1::reinforce}} the bridge with steel beams.|We need to reinforce the bridge with steel beams.|我们需要用钢梁来加固这座桥。|To strengthen or support, especially with additional material|加强或支持，特别是增加额外材料|reinforce|verb|strengthen, bolster|weaken, undermine
reinforced|Her speech {{c1::reinforced}} the importance of teamwork.|Her speech reinforced the importance of teamwork.|她的演讲强化了团队合作的重要性。|To make an idea, belief, or feeling stronger|使某个想法、信念或感觉更强烈|reinforce|verb|confirm, support|diminish, counteract
commitment|Her {{c1::commitment}} to the project was impressive.|Her commitment to the project was impressive.|她对这个项目的投入令人印象深刻。|The state or quality of being dedicated to a cause or activity|对某事业或活动的投入或奉献|commitment|noun|dedication, devotion|indifference, apathy
commitment|I have a prior {{c1::commitment}} on Friday.|I have a prior commitment on Friday.|我周五已经有一个事先的约定。|An engagement or obligation that restricts freedom of action|限制行动自由的约定或义务|commitment|noun|obligation, duty|option, freedom
donation|We made a {{c1::donation}} to the animal shelter.|We made a donation to the animal shelter.|我们为动物收容所捐款了。|Something that is given to an organization or person to help|给予组织或个人以帮助的东西|donation|noun|contribution, gift|withdrawal, denial
donations|He thanked everyone for their generous {{c1::donations}}.|He thanked everyone for their generous donations.|他感谢所有人的慷慨捐助。|An act or instance of giving something as a gift or contribution|赠予或捐献某物的行为或案例|donation|noun|grant, handout|sale, trade
curious|She was {{c1::curious}} about the new neighbor.|She was curious about the new neighbor.|她对新邻居感到好奇。|Eager to know or learn something|渴望知道或学习某事的|curious|adjective|inquisitive, interested|indifferent, apathetic
curious|It's {{c1::curious}} that he didn't show up.|It's curious that he didn't show up.|奇怪的是他并没有出现。|Strange; unusual|奇怪的；不寻常的|curious|adjective|odd, peculiar|normal, ordinary
jungle|They explored the Amazon {{c1::jungle}} for weeks.|They explored the Amazon jungle for weeks.|他们在亚马逊丛林里探险了好几周。|An area of land overgrown with dense forest and tangled vegetation|被稠密森林和纠结植被覆盖的土地|jungle|noun|rainforest, wilderness|desert, savanna
jungle|The corporate world can be a {{c1::jungle}} sometimes.|The corporate world can be a jungle sometimes.|公司界有时会像一片丛林。|A situation or place of ruthless competition or struggle for survival|一个充满残酷竞争或生存斗争的情境或场所|jungle|noun|battlefield, dog-eat-dog world|harmony, cooperation
overdraft|He had to pay a fee for his {{c1::overdraft}}.|He had to pay a fee for his overdraft.|他因透支而支付了罚金。|A deficit in a bank account caused by drawing more money than the account holds|银行账户因支出超过余额而产生的透支|overdraft|noun|negative balance, bank debt|credit, surplus
overdraft|I have an {{c1::overdraft}} facility with my current account.|I have an overdraft facility with my current account.|我在活期账户上有个透支服务。|An arrangement with a bank allowing one to withdraw more than what is in the account|与银行达成的允许从账户中支出超过余额的协议|overdraft|noun|line of credit, overlimit|prepayment, reserve funds
optical|He works in the {{c1::optical}} industry.|He works in the optical industry.|他从事与光学相关的行业。|Relating to sight or the sense of vision|与视力或视觉相关的|optical|adjective|visual, vision-related|non-visual, auditory
optical|{{c1::optical}} fibers facilitate high-speed data transmission.|Optical fibers facilitate high-speed data transmission.|光纤可以实现高速数据传输。|Relating to or using light|与或使用光相关的|optical|adjective|light-based, photonic|mechanical, electrical (non-optical)
otherwise|You must leave now, {{c1::otherwise}} you'll be late.|You must leave now, otherwise you'll be late.|你必须现在出发，否则你会迟到。|In circumstances different from those present or considered; or else|在与目前或所考虑情况不同的情况下；否则|otherwise|adverb|else, or else|consequently, accordingly
otherwise|The room is small, but {{c1::otherwise}} quite nice.|The room is small, but otherwise quite nice.|房间虽小，但其他方面都很好。|In other respects; apart from that|在其他方面；除此之外|otherwise|adverb|besides that, apart from that|completely, entirely
variations|There are slight {{c1::variations}} in temperature throughout the day.|There are slight variations in temperature throughout the day.|一天中温度有轻微的变化。|A change or difference in condition, amount, or level, typically with certain limits.|条件、数量或水平的变化或差异，通常在一定范围内。|variation|noun|change, difference, deviation, modification|uniformity, consistency
